word
the
be
to
of
and
a
in
that
have
i
it
for
not
on
with
he
as
you
do
at
this
but
his
by
from
they
we
say
her
she
or
an
will
my
all
would
there
their
what
so
up
out
if
about
who
get
which
go
me
when
can
no
just
him
take
into
your
some
could
them
other
than
then
now
only
its
also
how
our
first
way
even
new
because
any
these
us
